"Account Id","Account Owner","Account Owner Id","Account Name",Phone,Fax,Website,"Account Type",Employees,"Annual Revenue","Created By","Created By Id","Modified By","Modified By Id","Created Time","Modified Time","Billing Street","Shipping Street","Billing City","Shipping City","Billing State","Shipping State","Billing Code","Shipping Code","Billing Country","Shipping Country",Description,"Last Activity Time","Membership Expiration Date","Membership Level","Business Categories","Account Status","Membership Number","Political Action Committee",Weblink,"Member Since","Referred By"
zcrm_1624029000000096018,"Liz Debarros",zcrm_1624029000000085003,"Agility COnstruction, LLC","(540) 326-6770",,www.agilityconstruction.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1325 S Street NW, Suite 500","1325 S Street NW, Suite 500",Washington,Washington,DC,DC,20005,20005,,,"Framing Contractor","2015-11-18 11:39:00",2016-07-31,Associate/Builder,,Active,DCBIA-10010,false,false,,
zcrm_1624029000000096019,"Liz Debarros",zcrm_1624029000000085003,"AHA Consulting Engineers","(571) 451-1940",,www.aha-engineers.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","3000 Wilson Blvd., Suite 210","3000 Wilson Blvd., Suite 210",Arlington,Arlington,VA,VA,22201,22201,,,"Mechanical, electrical, plumbing & fire protection  design; LEED administration, commissioning, & energy modeling","2015-11-18 11:39:00",2015-10-31,Associate/Builder,Engineers,Inactive,DCBIA-10011,false,false,,
zcrm_1624029000000096020,"Liz Debarros",zcrm_1624029000000085003,"AiNET LLC","(301) 931-6574",,www.ai.net,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","11700 Montgomery Road","11700 Montgomery Road",Beltsville,Beltsville,MD,MD,20705,20705,,,"Design, construction, operation and support of internet data centers and networks","2015-11-18 11:39:00",2015-06-30,"Non-Profit/Small Business/Government","Information Technology",Inactive,DCBIA-10012,false,false,,
zcrm_1624029000000096021,"Liz Debarros",zcrm_1624029000000085003,Akridge,"(202) 638-3000",,www.akridge.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","601 Thirteenth St., NW, Suite 300N","601 Thirteenth St., NW, Suite 300N",Washington,Washington,DC,DC,20005,20005,,,"Commercial Developer","2015-11-18 11:39:00",2016-08-31,Associate/Builder,"Builders / Developers",Active,DCBIA-10013,false,false,,
zcrm_1624029000000096022,"Liz Debarros",zcrm_1624029000000085003,"Albemarle Group, LLC","(301) 951-2744",,www.albemarlegroup.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","5454 Wisconsin Ave, Suite 1600","5454 Wisconsin Ave, Suite 1600",Washington,Washington,DC,DC,20815,20815,,,"Commercial Real Estate Investment, Development and Advisory Services","2015-11-18 11:39:00",2016-01-31,Associate/Builder,Financial;Consulting,Active,DCBIA-10014,false,false,,
zcrm_1624029000000096023,"Liz Debarros",zcrm_1624029000000085003,"Align Development","(703) 598-2420",,www.aligndevlopment.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","11113 Glade Drive","11113 Glade Drive",Reston,Reston,VA,VA,20191,20191,,,"A boutique real estate development firm working in the most sought-after and transitioning neighborhoods in Washington, DC.","2015-11-18 11:39:00",2016-08-31,"Sole Proprieter/ Start-up",,Active,DCBIA-10015,false,false,,
zcrm_1624029000000096024,"Liz Debarros",zcrm_1624029000000085003,"Alvin Gross Real Estate","(202) 321-5336",,www.alvingross.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 12:20:53","4401 A Connecuticut Avenue, NW Suite 270","4401 A Connecuticut Avenue, NW Suite 270",Washington,Washington,DC,DC,20008,20008,,,"All aspects of Real Estate Development in Washington, DC (LSDBE Certified)","2015-11-18 12:20:53",2014-11-30,"Non-Profit/Small Business/Government","Builders / Developers",Inactive,DCBIA-10016,false,false,,
zcrm_1624029000000096025,"Liz Debarros",zcrm_1624029000000085003,"American Office","(202) 737-3889",,www.americanoffice.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1401 New York Avenue, NW,  Suite 1250","1401 New York Avenue, NW,  Suite 1250",Washington,Washington,DC,DC,20005,20005,,,"Contract furniture dealer supporting commercial, healthcare, government, education, and hospitality markets","2015-11-18 11:39:00",2016-01-31,Associate/Builder,"Suppliers & Misc. Services",Active,DCBIA-10017,false,false,,
zcrm_1624029000000096026,"Liz Debarros",zcrm_1624029000000085003,"American Society of Landscape Architects","(202) 898-2444",,www.alsa.org,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","636 Eye Street, NW","636 Eye Street, NW",Washington,Washington,DC,DC,20001,20001,,,"National professional society representing over 15,000 landscape architects","2015-11-18 11:39:00",2016-12-31,Associate/Builder,"Architects / Interior Designers",Active,DCBIA-10018,false,false,,
zcrm_1624029000000096027,"Liz Debarros",zcrm_1624029000000085003,"American University","(202) 885-2709",,www.american.edu,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","4400 Massachusetts Avenue, NW","4400 Massachusetts Avenue, NW",Washington,Washington,DC,DC,20016,20016,,,"Higher Education","2015-11-18 11:39:00",2016-12-31,"Non-Profit/Small Business/Government","Business Improvement Districts / Community Associations / Government Agencies & Institutions",Active,DCBIA-10019,false,false,,
zcrm_1624029000000096028,"Liz Debarros",zcrm_1624029000000085003,"AMT, LLC","(202) 289-4545",,www.amtengineering.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-30 09:06:03","10 G Street, NE, Suite 430","10 G Street, NE, Suite 430",Washington,Washington,DC,DC,20002,20002,,,"Certified CBE providing civil, survey and landscape architecture services from concept planning through completion","2015-11-30 09:06:03",2015-11-30,Associate/Builder,"Architects / Interior Designers",Inactive,DCBIA-10020,false,false,,
zcrm_1624029000000096029,"Liz Debarros",zcrm_1624029000000085003,"Anacostia Holding Company","(202) 889-5100",,www.anacostiadc.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1800 Martin Luther King Jr. Ave, SE, #100","1800 Martin Luther King Jr. Ave, SE, #100",Washington,Washington,DC,DC,20020,20020,,,Builder/Developer,"2015-11-18 11:39:00",2016-01-31,Associate/Builder,"Builders / Developers",Active,DCBIA-10021,false,false,,
zcrm_1624029000000096030,"Liz Debarros",zcrm_1624029000000085003,"Aon Fire Protection Engineering Corporation","(301) 220-1212",,www.aonfpe.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","6305 Ivy Lane, Suite 220","6305 Ivy Lane, Suite 220",Greenbelt,Greenbelt,MD,MD,20770,20770,,,"Fire Protection Engineering and Building Code Consulting Services","2015-11-18 11:39:00",2016-01-31,Associate/Builder,Consultants,Active,DCBIA-10022,false,false,,
zcrm_1624029000000096031,"Liz Debarros",zcrm_1624029000000085003,"Archer, Thomas","(202) 496-6608",,,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","3551 Hamilton Place","3551 Hamilton Place","Chevy Chase","Chevy Chase",MD,MD,20815,20815,,,,"2015-11-18 11:39:00",2015-07-31,"Non-Profit/Small Business/Government","Builders / Developers",Inactive,DCBIA-10023,false,false,,
zcrm_1624029000000096032,"Liz Debarros",zcrm_1624029000000085003,"Arent Fox LLP","(202) 857-6000",,www.arentfox.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1717 K Street, NW","1717 K Street, NW",Washington,Washington,DC,DC,20006,20006,,,"Full Services Law Firm","2015-11-18 11:39:00",2016-09-30,Associate/Builder,Attorneys,Active,DCBIA-10024,false,false,,
zcrm_1624029000000096033,"Liz Debarros",zcrm_1624029000000085003,"Arnold & Porter LLP","(202) 942-5000",,,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","555 12th Street, NW, Ste 942","555 12th Street, NW, Ste 942",Washington,Washington,DC,DC,20004,20004,,,"Law Firm","2015-11-18 11:39:00",2016-01-30,Associate/Builder,Attorneys,Active,DCBIA-10025,false,false,,
zcrm_1624029000000096034,"Liz Debarros",zcrm_1624029000000085003,"Aronson LLC","(301) 231-6200",,www.aronsoncompany.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","805 King Farm Blvd., Suite 300","805 King Farm Blvd., Suite 300",Rockville,Rockville,MD,MD,20850,20850,,,"Certified Public Accountants & Consultants","2015-11-18 11:39:00",2016-05-31,Associate/Builder,"Certified Public Accountants",Active,DCBIA-10026,false,false,,
zcrm_1624029000000096035,"Liz Debarros",zcrm_1624029000000085003,"Artomatic, Inc.","(202) 607-0879",,www.artomatic.org,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1438 Montague Street, NW","1438 Montague Street, NW",Washington,Washington,DC,DC,20011,20011,,,"Strengthens the creative community; builds audience; and focuses attention on the temporary use of vacant space","2015-11-18 11:39:00",2016-12-31,"Non-Profit/Small Business/Government","Suppliers & Misc. Services",Active,DCBIA-10027,false,false,,
zcrm_1624029000000096036,"Liz Debarros",zcrm_1624029000000085003,Arup,"(202) 729-8220",,www.arup.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1120 Connecticut Avenue, NW, Suite 1110","1120 Connecticut Avenue, NW, Suite 1110",Washington,Washington,DC,DC,20036,20036,,,"Independent firm of designers, planners, engineers, consultants and technical specialists offering a broad range of professional services","2015-11-18 11:39:00",2016-01-31,Associate/Builder,Engineers,Active,DCBIA-10028,false,false,,
zcrm_1624029000000096037,"Liz Debarros",zcrm_1624029000000085003,"Asmar, Schor & McKenna PLLC","(202) 244-4264",,www.asm-law.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","5335 Wisconsin Avenue, NW, Suite 400","5335 Wisconsin Avenue, NW, Suite 400",Washington,Washington,DC,DC,20015,20015,,,"Law Firm","2015-11-18 11:39:00",2015-10-31,Associate/Builder,Attorneys,Inactive,DCBIA-10029,false,false,,
zcrm_1624029000000096038,"Liz Debarros",zcrm_1624029000000085003,"Atlantic Real Estate Partners","(703) 626-7744",,,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","2408 Hunter Mill Road","2408 Hunter Mill Road",Vienna,Vienna,VA,VA,22181,22181,,,"Real Estate Development/Acquistion Firm","2015-11-18 11:39:00",2016-08-31,"Sole Proprieter/ Start-up","Real Estate",Active,DCBIA-10030,false,false,,
zcrm_1624029000000096039,"Liz Debarros",zcrm_1624029000000085003,"Avison Young","(202) 644-8700",,www.avisonyoung.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1999 K Street, NW, Suite 650","1999 K Street, NW, Suite 650",Washington,Washington,DC,DC,20006,20006,,,"Tenant & Landlord Representative/ Investment Sales/ Property & Project Management/ Market Research/ Government Services","2015-11-18 11:39:00",2016-01-31,Associate/Builder,"Commercial Brokers",Active,DCBIA-10031,false,false,,
zcrm_1624029000000096040,"Liz Debarros",zcrm_1624029000000085003,"Ayers Saint Gross","(202) 628-1033",,www.asg-architects.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1100 1st Street, NE, Suite 800","1100 1st Street, NE, Suite 800",Washington,Washington,DC,DC,20002,20002,,,"We create innovative and exciting architecture, interiors and urban design for corporate, institutional public clients","2015-11-18 11:39:00",2016-12-31,Associate/Builder,"Architects / Interior Designers",Active,DCBIA-10032,false,false,,
zcrm_1624029000000096041,"Liz Debarros",zcrm_1624029000000085003,"Baker Tilly","(703) 923-8300",,www.bakertilly.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","8219 Leesburg Pike, Suite 800","8219 Leesburg Pike, Suite 800","Tyson Corner","Tyson Corner",VA,VA,22182,22182,,,"Certified Public Accountants/ Tax/Assurance/Consulting","2015-11-18 11:39:00",2016-12-31,Associate/Builder,"Certified Public Accountants",Active,DCBIA-10033,false,false,,
zcrm_1624029000000096042,"Liz Debarros",zcrm_1624029000000085003,"Balfour Beatty Construction","(703) 273-3311",,www.balfourbeattyus.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-30 09:06:03","11325 Random Hills Road, Suite 500","11325 Random Hills Road, Suite 500",Fairfax,Fairfax,VA,VA,22030,22030,,,"General Contractors","2015-11-30 09:06:03",2015-11-30,Associate/Builder,"General Contractors",Inactive,DCBIA-10034,false,false,,
zcrm_1624029000000096043,"Liz Debarros",zcrm_1624029000000085003,"Ballard Spahr LLP","(301) 664-6200",,www.ballardspahr.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1909 K Street, NW, 12th Floor","1909 K Street, NW, 12th Floor",Washington,Washington,DC,DC,20006,20006,,,"Law Firm","2015-11-18 11:39:00",2016-01-30,Associate/Builder,Attorneys,Active,DCBIA-10035,false,false,,
zcrm_1624029000000096044,"Liz Debarros",zcrm_1624029000000085003,"Ballston BID","(703) 664-1194",,www.ballstonbid.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","901 N. Glebe Road, Suite 806","901 N. Glebe Road, Suite 806",Arlington,Arlington,VA,VA,22203,22203,,,"Business Improvement District","2015-11-18 11:39:00",2016-01-31,"Non-Profit/Small Business/Government","Business Improvement Districts / Community Associations / Government Agencies & Institutions",Active,DCBIA-10036,false,false,,
zcrm_1624029000000096045,"Liz Debarros",zcrm_1624029000000085003,"Bank of America Merrill Lynch","(703) 761-8134",,www.bankofamerica.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","8300 Greensboro Drive, Suite 300","8300 Greensboro Drive, Suite 300",McLean,McLean,VA,VA,22102,22102,,,"Real Estate Banking Group","2015-11-18 11:39:00",2016-07-31,Associate/Builder,Financial,Active,DCBIA-10037,false,false,,
zcrm_1624029000000096046,"Liz Debarros",zcrm_1624029000000085003,BB&T,"(202) 835-9216",,www.bbt.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","815 Connecticut Avenue, NW","815 Connecticut Avenue, NW",Washington,Washington,DC,DC,20007,20007,,,Banking,"2015-11-18 11:39:00",2016-01-31,Associate/Builder,Financial,Active,DCBIA-10038,false,false,,
zcrm_1624029000000096047,"Liz Debarros",zcrm_1624029000000085003,BBGM,"(202) 452-1644",,www.bbgm.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1825 K Street NW, Ste 300","1825 K Street NW, Ste 300",Washington,Washington,DC,DC,20006,20006,,,"Architects & Interior Designers","2015-11-18 11:39:00",2016-12-31,Associate/Builder,"Architects / Interior Designers",Active,DCBIA-10039,false,false,,
zcrm_1624029000000096048,"Liz Debarros",zcrm_1624029000000085003,BCONSTUX,"(202) 255-0520",,,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1432 Leegate Road, NW","1432 Leegate Road, NW",Washington,Washington,DC,DC,20012,20012,,,,"2015-11-18 11:39:00",2016-12-31,"Non-Profit/Small Business/Government",Subcontractors,Active,DCBIA-10040,false,false,,
zcrm_1624029000000096049,"Liz Debarros",zcrm_1624029000000085003,BDO,"(703) 893-0600",,www.bdo.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-30 09:06:03","8405 Greensboro Drive, Suite 700","8405 Greensboro Drive, Suite 700",McLean,McLean,VA,VA,22102,22102,,,"Certified Public Accounting Firm","2015-11-30 09:06:03",2015-11-30,Associate/Builder,"Certified Public Accountants",Inactive,DCBIA-10041,false,false,,
zcrm_1624029000000096050,"Liz Debarros",zcrm_1624029000000085003,"Beacon Capital Partners LLC","(703) 894-6257",,www.beaconcapital.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1300 Wilson Boulevard, Suite 910","1300 Wilson Boulevard, Suite 910",Arlington,Arlington,VA,VA,22209,22209,,,"Beacon Capital Partners is a real estate investment firm headquartered in Boston with a local office in Arlington, VA.","2015-11-18 11:39:00",2016-01-30,Associate/Builder,Financial,Active,DCBIA-10042,false,false,,
zcrm_1624029000000096051,"Liz Debarros",zcrm_1624029000000085003,"Bell Architects, PC","(202) 548-7570",,www.bellarchitects.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1228 9th Street, NW","1228 9th Street, NW",Washington,Washington,DC,DC,20001,20001,,,"Architects: Sustainable Design, Historic Preservation, Adaptive Reuse, Community Development, Planning, Energy Retrofits","2015-11-18 11:39:00",2016-01-31,"Non-Profit/Small Business/Government","Architects / Interior Designers",Active,DCBIA-10043,false,false,,
zcrm_1624029000000096052,"Liz Debarros",zcrm_1624029000000085003,"Bernstein Companies, The","(202) 333-9000",,www.thebernsteincompanies.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","3299 K St., NW, Suite 700","3299 K St., NW, Suite 700",Washington,Washington,DC,DC,20007,20007,,,"Real Estate Development/Investment","2015-11-18 11:39:00",2015-10-31,Associate/Builder,Financial,Inactive,DCBIA-10044,false,false,,
zcrm_1624029000000096053,"Liz Debarros",zcrm_1624029000000085003,"Bernstein Management Corporation",(202)363-6301,,www.bernsteinmgmt.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","5301 Wisconsin Ave., NW, Suite 600","5301 Wisconsin Ave., NW, Suite 600",Washington,Washington,DC,DC,20015,20015,,,"Real Estate Investment Management","2015-11-18 11:39:00",2016-12-31,Associate/Builder,Financial,Active,DCBIA-10045,false,false,,
zcrm_1624029000000096054,"Liz Debarros",zcrm_1624029000000085003,"Beveridge & Diamond, P.C.","(202) 789-6000",,www.bdlaw.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","1350 I Street, NW, Suite 700","1350 I Street, NW, Suite 700",Washington,Washington,DC,DC,20005,20005,,,"Environmental, Land Use & Litigation Law Firm","2015-11-18 11:39:00",2014-11-30,Associate/Builder,Attorneys,Inactive,DCBIA-10046,false,false,,
zcrm_1624029000000096055,"Liz Debarros",zcrm_1624029000000085003,"BG LionStar","(202) 681-6696",,www.bglionstar.com,Member,0,0,"Liz Debarros",zcrm_1624029000000085003,"Liz Debarros",zcrm_1624029000000085003,"2015-09-03 13:47:49","2015-11-18 11:39:00","7836 Roundabout Way","7836 Roundabout Way",Springfield,Springfield,VA,VA,22153,22153,,,"Real estate investment and development company focused on public-private and non-profit partnerships for community.","2015-11-18 11:39:00",2016-05-31,"Sole Proprieter/ Start-up",Financial,Active,DCBIA-10047,false,false,,
